month,date,equity_jpy,return,year
2013-07,2013-07-31,100000.0,,2013
2013-08,2013-08-30,100000.0,0.0,2013
2013-09,2013-09-30,100000.0,0.0,2013
2013-10,2013-10-31,100000.0,0.0,2013
2013-11,2013-11-29,100000.0,0.0,2013
2013-12,2013-12-31,100000.0,0.0,2013
2014-01,2014-01-31,94025.34379188578,-0.05974656208114215,2014
2014-02,2014-02-28,97766.96739962303,0.039793777473644765,2014
2014-03,2014-03-31,98700.49398964686,0.009548486721573601,2014
2014-04,2014-04-30,99413.06580610563,0.007219536475000066,2014
2014-05,2014-05-30,100301.7062411894,0.008938869633262847,2014
2014-06,2014-06-30,100947.15511303926,0.006435073699522009,2014
2014-07,2014-07-31,101217.62904924137,0.002679361651145351,2014
2014-08,2014-08-29,106309.18388990089,0.05030304393103813,2014
2014-09,2014-09-30,111274.53045610577,0.04670665679596642,2014
2014-10,2014-10-31,114930.90313367613,0.032859025893734684,2014
2014-11,2014-11-28,127640.44716855933,0.11058421789395267,2014
2014-12,2014-12-31,129059.48675816733,0.011117475855706216,2014
2015-01,2015-01-30,126323.17268049507,-0.021201960013986332,2015
2015-02,2015-02-27,133680.05887266202,0.058238611618586233,2015
2015-03,2015-03-31,132832.92893914744,-0.006336995514951926,2015
2015-04,2015-04-30,131408.90328851162,-0.010720426493706192,2015
2015-05,2015-05-29,138508.0816961049,0.05402357245160827,2015
2015-06,2015-06-30,134425.23737224864,-0.029477300341320678,2015
2015-07,2015-07-31,140648.38997376984,0.04629452566476133,2015
2015-08,2015-08-31,130662.80380795614,-0.0709968039284058,2015
2015-09,2015-09-30,127889.8979505384,-0.02122184567149854,2015
2015-10,2015-10-30,138529.54336350883,0.08319379077998268,2015
2015-11,2015-11-30,140783.0148771029,0.01626708252174658,2015
2015-12,2015-12-31,137217.306319066,-0.025327689999745995,2015
2016-01,2016-01-29,131413.93986261138,-0.04229325448905319,2016
2016-02,2016-02-29,126626.83035335506,-0.03642771470257322,2016
2016-03,2016-03-31,132595.6497054162,0.04713708252354576,2016
2016-04,2016-04-29,127048.71524497161,-0.041833457377885686,2016
2016-05,2016-05-31,132029.5780039025,0.03920435361606733,2016
2016-06,2016-06-30,125517.15271833859,-0.049325502542857724,2016
2016-07,2016-07-29,130799.99712519124,0.04208862527902779,2016
2016-08,2016-08-31,127063.88777029394,-0.02856352780590199,2016
2016-09,2016-09-30,124539.80403143069,-0.0198646821150813,2016
2016-10,2016-10-31,125605.3974790519,0.008556247987609567,2016
2016-11,2016-11-30,137585.7208687498,0.09538064151817949,2016
2016-12,2016-12-30,145368.4970361724,0.056566743396627484,2016
2017-01,2017-01-31,143809.31567000807,-0.01072571704291847,2017
2017-02,2017-02-28,149251.41677042242,0.03784247964090226,2017
2017-03,2017-03-31,148026.4554742051,-0.00820736796154864,2017
2017-04,2017-04-28,148788.69339911803,0.005149335789140341,2017
2017-05,2017-05-31,150862.61516859592,0.013938705435867282,2017
2017-06,2017-06-30,152609.3550129659,0.011578347905595532,2017
2017-07,2017-07-31,152856.90690028502,0.00162212786560878,2017
2017-08,2017-08-31,153726.52976658192,0.005689130337199533,2017
2017-09,2017-09-29,158986.76939952382,0.034218164170680465,2017
2017-10,2017-10-31,163621.34126112974,0.029150676368292716,2017
2017-11,2017-11-30,167603.12928770095,0.024335383122281895,2017
2017-12,2017-12-29,170174.1604886301,0.015339995212832802,2017
2018-01,2018-01-31,170526.00271411962,0.002067542008018508,2018
2018-02,2018-02-28,162456.347965395,-0.047322136332797915,2018
2018-03,2018-03-29,160258.7177280039,-0.013527512251224727,2018
2018-04,2018-04-30,162785.10269028667,0.01576441517877769,2018
2018-05,2018-05-31,165203.90855468984,0.014858889569306477,2018
2018-06,2018-06-29,169310.38219118223,0.02485700049362305,2018
2018-07,2018-07-31,176046.03397760363,0.03978286327896674,2018
