month,return,year
2007-01,,2007
2007-02,0.0,2007
2007-03,0.0,2007
2007-04,0.0,2007
2007-05,0.0,2007
2007-06,0.0,2007
2007-07,0.0,2007
2007-08,0.0,2007
2007-09,0.0,2007
2007-10,0.006275429466310989,2007
2007-11,-0.009741053427292368,2007
2007-12,0.0,2007
2008-01,0.0,2008
2008-02,0.0,2008
2008-03,0.0,2008
2008-04,0.0,2008
2008-05,0.0,2008
2008-06,0.0,2008
2008-07,0.0,2008
2008-08,0.0,2008
2008-09,0.0,2008
2008-10,0.0,2008
2008-11,0.0,2008
2008-12,0.0,2008
2009-01,0.0,2009
2009-02,0.0,2009
2009-03,0.0,2009
2009-04,0.0,2009
2009-05,0.0,2009
2009-06,-0.00882219205692436,2009
2009-07,0.0,2009
2009-08,0.010690144057519557,2009
2009-09,0.005577960049337083,2009
2009-10,-0.025606767380322304,2009
2009-11,0.005959549329507263,2009
2009-12,0.0037458853776024537,2009
2010-01,-0.005837862819811357,2010
2010-02,0.006004320411818531,2010
2010-03,0.0,2010
2010-04,0.0006266133197638801,2010
2010-05,-0.01471437125340802,2010
2010-06,0.0,2010
2010-07,0.0,2010
2010-08,0.0,2010
2010-09,0.0,2010
2010-10,0.0,2010
2010-11,-0.002404543242973567,2010
2010-12,-0.0010514982904690218,2010
2011-01,0.0,2011
2011-02,0.0,2011
2011-03,-0.008729461324273657,2011
2011-04,-0.006685478945682277,2011
2011-05,-2.346077605597241e-05,2011
2011-06,-0.004053861689394145,2011
2011-07,-0.007147713820356394,2011
2011-08,-0.0200968955199593,2011
2011-09,0.0,2011
2011-10,0.0,2011
2011-11,0.0,2011
2011-12,0.0,2011
2012-01,0.0,2012
2012-02,0.0,2012
2012-03,0.008227250103142403,2012
2012-04,-0.002934996798033218,2012
2012-05,-0.013981938212056289,2012
2012-06,0.0090957967948051,2012
2012-07,0.0034762413968509875,2012
2012-08,0.0009071862627401117,2012
2012-09,-0.004680510304425178,2012
2012-10,0.0019758692531595123,2012
2012-11,0.004301817874935221,2012
2012-12,0.003214806127225911,2012
2013-01,0.0075366217263437285,2013
2013-02,0.0,2013
2013-03,-0.005922245376931201,2013
2013-04,0.007090674197444136,2013
2013-05,-0.00598182264373448,2013
2013-06,-0.002314588145648777,2013
2013-07,0.0,2013
2013-08,0.00022874323446742117,2013
2013-09,-0.0024523110839664852,2013
2013-10,0.004447055058262039,2013
2013-11,0.0,2013
2013-12,0.0021579955037067666,2013
2014-01,-0.011097364751734173,2014
2014-02,-0.006593569146328915,2014
2014-03,0.006061902871910663,2014
2014-04,-0.008888647180346654,2014
2014-05,0.0,2014
2014-06,0.0,2014
2014-07,-0.004015704130323594,2014
2014-08,-0.005952283551615478,2014
2014-09,0.0008797640468616308,2014
2014-10,-0.0032366124833599352,2014
2014-11,0.0,2014
2014-12,0.0008631691467113622,2014
2015-01,-0.000757888671056417,2015
2015-02,0.001960822730950662,2015
2015-03,0.0015346225858499096,2015
2015-04,-0.0016721322183721465,2015
2015-05,0.0049701203678858,2015
2015-06,-0.003300989480806815,2015
2015-07,-0.0005219418000619314,2015
2015-08,-0.0012990457198110983,2015
2015-09,0.0,2015
2015-10,0.0,2015
2015-11,-0.008882675794042338,2015
2015-12,0.0,2015
2016-01,0.0,2016
2016-02,0.0,2016
2016-03,0.002742452355284808,2016
2016-04,-0.008856687031504662,2016
2016-05,-0.003649941400904133,2016
2016-06,-0.005385863689831405,2016
2016-07,0.0,2016
2016-08,0.0035101897261042847,2016
2016-09,0.0026947326537825056,2016
2016-10,-0.002250416028886315,2016
2016-11,-0.003692690085064121,2016
2016-12,-0.005973014873278504,2016
2017-01,0.004432032562560417,2017
2017-02,0.0005234045473603288,2017
2017-03,0.0006775046154603448,2017
2017-04,0.00026215351080716154,2017
2017-05,0.002806651606606092,2017
2017-06,0.0013543559680246897,2017
2017-07,-0.00072708456822701,2017
2017-08,-0.0036428646721132774,2017
2017-09,0.00043401530962561274,2017
2017-10,0.0,2017
2017-11,-0.0007302971187476137,2017
2017-12,0.0,2017
2018-01,0.0,2018
2018-02,-0.012709970211958188,2018
2018-03,-0.011529740808062239,2018
2018-04,-0.004408163288443734,2018
2018-05,-4.3662306458691624e-05,2018
2018-06,-0.0007267072915191353,2018
2018-07,0.0012658655217545611,2018
2018-08,0.003885902784806161,2018
2018-09,0.0016101785329201146,2018
2018-10,-0.012698618012941143,2018
2018-11,0.0,2018
2018-12,0.0,2018
2019-01,0.0,2019
2019-02,0.0,2019
2019-03,0.0055442223469157614,2019
2019-04,0.0,2019
2019-05,-0.015598325494322274,2019
