year,net_return
2007,-0.0035267532546918723
2008,0.0
2009,-0.008885337450415198
2010,-0.017372701850658867
2011,-0.04594717919291502
2012,0.009434226730501871
2013,0.004694353854345801
2014,-0.03164171523874115
2015,-0.00800015566059964
2016,-0.02074453943764587
2017,0.005381985264572675
2018,-0.034977935354738476
2019,-0.024798176374075886
2020,-0.0041706602192810305
2021,0.029172987275703388
2022,-0.009761423477008702
2023,0.0005446549267569267
2024,0.019855966168708994
2025,-0.001582259692878174
2026,0.011071285717959123
