month,date,equity_jpy,return,year
2007-01,2007-01-31,100000.0,,2007
2007-02,2007-02-28,100000.0,0.0,2007
2007-03,2007-03-30,100000.0,0.0,2007
2007-04,2007-04-30,100000.0,0.0,2007
2007-05,2007-05-31,101446.04611373966,0.01446046113739663,2007
2007-06,2007-06-29,101325.2600171819,-0.0011906437085023036,2007
2007-07,2007-07-31,98122.11374055444,-0.03161251474789506,2007
2007-08,2007-08-31,97536.3754142388,-0.005969483371143003,2007
2007-09,2007-09-28,100632.28548996885,0.031741081853633224,2007
2007-10,2007-10-31,104243.77137378253,0.035887944571960206,2007
2007-11,2007-11-30,101354.60221318126,-0.027715508778377584,2007
2007-12,2007-12-31,103049.04096333402,0.01671792610451761,2007
2008-01,2008-01-31,101561.8919101205,-0.014431469126846785,2008
2008-02,2008-02-29,100795.26301271233,-0.0075483912616222115,2008
2008-03,2008-03-31,95434.4264176916,-0.053185402118992586,2008
2008-04,2008-04-30,98076.12057462498,0.027680725458246735,2008
2008-05,2008-05-30,99395.36638638373,0.013451243830091775,2008
2008-06,2008-06-30,99901.99827770959,0.005097137922470241,2008
2008-07,2008-07-31,101173.14670622633,0.012723953979210556,2008
2008-08,2008-08-29,100106.3394496146,-0.01054437161779076,2008
2008-09,2008-09-30,96817.55869887734,-0.03285287194416464,2008
2008-10,2008-10-31,81476.50159012742,-0.1584532528491427,2008
2008-11,2008-11-28,83683.21467160033,0.027084043109434575,2008
2008-12,2008-12-31,83317.911215297,-0.004365313375411017,2008
2009-01,2009-01-30,81067.15308353819,-0.02701409695620871,2009
2009-02,2009-02-27,85921.75239912477,0.05988367829549923,2009
2009-03,2009-03-31,89303.32833205507,0.039356459086427265,2009
2009-04,2009-04-30,89046.83889390227,-0.0028721151041436466,2009
2009-05,2009-05-29,89273.18337158108,0.0025418586497887308,2009
2009-06,2009-06-30,88068.98925746747,-0.013488867189841325,2009
2009-07,2009-07-31,88705.12452746395,0.007223147164057364,2009
2009-08,2009-08-31,87915.29530636423,-0.008903986385309426,2009
2009-09,2009-09-30,87681.5513533046,-0.0026587404642740564,2009
2009-10,2009-10-30,88478.7424273542,0.009091890617187959,2009
2009-11,2009-11-30,90001.1268543556,0.01720621682944201,2009
2009-12,2009-12-30,92971.41440546801,0.033002781797599745,2009
2010-01,2010-01-29,90328.50083507838,-0.02842716320161942,2010
2010-02,2010-02-26,90657.87168282157,0.0036463668133335236,2010
2010-03,2010-03-31,96325.64872475159,0.06251831128089447,2010
2010-04,2010-04-30,99257.36553784968,0.030435474371684812,2010
2010-05,2010-05-27,95982.5226389832,-0.03299344971651186,2010
2010-06,2010-06-30,94114.90476938464,-0.019457895231855704,2010
2010-07,2010-07-30,91994.60285673343,-0.022528864241500468,2010
2010-08,2010-08-31,92322.32818768366,0.0035624408473244884,2010
2010-09,2010-09-30,94506.98164729997,0.02366332719832509,2010
2010-10,2010-10-29,94039.10657407343,-0.004950693219392455,2010
2010-11,2010-11-30,97252.96808268524,0.03417579798123982,2010
2010-12,2010-12-31,95124.52408293448,-0.021885645669355136,2010
2011-01,2011-01-31,94926.3943204231,-0.002082846294596319,2011
2011-02,2011-02-28,96956.63189189804,0.021387492762254157,2011
2011-03,2011-03-31,98967.35291390632,0.020738354692953154,2011
2011-04,2011-04-29,101271.27871887652,0.02327965472588156,2011
2011-05,2011-05-31,100537.17472907699,-0.007248886348491412,2011
2011-06,2011-06-30,98715.61377420569,-0.018118282712637934,2011
2011-07,2011-07-29,96425.69331288643,-0.02319714555548469,2011
2011-08,2011-08-31,100416.78664669854,0.0413903514373668,2011
2011-09,2011-09-30,96248.68834826676,-0.041507983252806246,2011
2011-10,2011-10-31,98634.15727212894,0.02478443046652834,2011
2011-11,2011-11-30,102139.5562053384,0.03553940166526859,2011
2011-12,2011-12-30,99478.66050321136,-0.026051569058883173,2011
2012-01,2012-01-31,102595.57599531751,0.031332503637858444,2012
2012-02,2012-02-29,107776.87942477468,0.05050221102802377,2012
2012-03,2012-03-30,110026.28741215638,0.020870969723629118,2012
2012-04,2012-04-30,108415.15964189383,-0.01464311673288854,2012
2012-05,2012-05-31,104342.73504783423,-0.037563239380094315,2012
2012-06,2012-06-29,106300.25717871594,0.01876050239611149,2012
2012-07,2012-07-31,105902.45181552439,-0.0037422803457827225,2012
2012-08,2012-08-31,108748.41928846411,0.026873480492191293,2012
2012-09,2012-09-28,109410.3868671044,0.006087146672765664,2012
2012-10,2012-10-31,110535.59981029441,0.010284333831638515,2012
2012-11,2012-11-30,114496.09112723294,0.035830007017971344,2012
2012-12,2012-12-31,118572.79945981658,0.03560565511405467,2012
2013-01,2013-01-31,126644.93473753895,0.06807746223836064,2013
2013-02,2013-02-28,127668.1906977878,0.008079722749034124,2013
2013-03,2013-03-28,132284.17238961972,0.03615608294127659,2013
2013-04,2013-04-30,135964.05808942768,0.027818034715215267,2013
2013-05,2013-05-31,138000.6117268334,0.01497861762897812,2013
2013-06,2013-06-28,128964.92485185187,-0.0654757016067965,2013
2013-07,2013-07-31,132712.06693379913,0.0290555132432464,2013
