month,date,equity_jpy,return,year
2007-01,2007-01-31,100000.0,,2007
2007-02,2007-02-28,100000.0,0.0,2007
2007-03,2007-03-30,100000.0,0.0,2007
2007-04,2007-04-30,100000.0,0.0,2007
2007-05,2007-05-31,100000.0,0.0,2007
2007-06,2007-06-29,100000.0,0.0,2007
2007-07,2007-07-31,100000.0,0.0,2007
2007-08,2007-08-31,100000.0,0.0,2007
2007-09,2007-09-28,100000.0,0.0,2007
2007-10,2007-10-31,100000.0,0.0,2007
2007-11,2007-11-30,100000.0,0.0,2007
2007-12,2007-12-31,100000.0,0.0,2007
2008-01,2008-01-31,100000.0,0.0,2008
2008-02,2008-02-29,100000.0,0.0,2008
2008-03,2008-03-31,100000.0,0.0,2008
2008-04,2008-04-30,100000.0,0.0,2008
2008-05,2008-05-30,100000.0,0.0,2008
2008-06,2008-06-30,100000.0,0.0,2008
2008-07,2008-07-31,100000.0,0.0,2008
2008-08,2008-08-29,100000.0,0.0,2008
2008-09,2008-09-30,100000.0,0.0,2008
2008-10,2008-10-31,100000.0,0.0,2008
2008-11,2008-11-28,100000.0,0.0,2008
2008-12,2008-12-31,100000.0,0.0,2008
2009-01,2009-01-30,100000.0,0.0,2009
2009-02,2009-02-27,100000.0,0.0,2009
2009-03,2009-03-31,100000.0,0.0,2009
2009-04,2009-04-30,100000.0,0.0,2009
2009-05,2009-05-29,100000.0,0.0,2009
2009-06,2009-06-30,100000.0,0.0,2009
2009-07,2009-07-31,100000.0,0.0,2009
2009-08,2009-08-31,100000.0,0.0,2009
2009-09,2009-09-30,100000.0,0.0,2009
2009-10,2009-10-30,100000.0,0.0,2009
2009-11,2009-11-30,100000.0,0.0,2009
2009-12,2009-12-30,100000.0,0.0,2009
2010-01,2010-01-29,98832.42743603772,-0.011675725639622825,2010
2010-02,2010-02-26,99039.36542110171,0.0020938267978687364,2010
2010-03,2010-03-31,99039.36542110171,0.0,2010
2010-04,2010-04-30,99039.36542110171,0.0,2010
2010-05,2010-05-27,101124.62342807837,0.02105484014472858,2010
2010-06,2010-06-30,101124.62342807837,0.0,2010
2010-07,2010-07-30,101124.62342807837,0.0,2010
2010-08,2010-08-31,101124.62342807837,0.0,2010
2010-09,2010-09-30,101124.62342807837,0.0,2010
2010-10,2010-10-29,101124.62342807837,0.0,2010
2010-11,2010-11-30,101124.62342807837,0.0,2010
2010-12,2010-12-31,101124.62342807837,0.0,2010
2011-01,2011-01-31,101124.62342807837,0.0,2011
2011-02,2011-02-28,101124.62342807837,0.0,2011
2011-03,2011-03-31,101124.62342807837,0.0,2011
2011-04,2011-04-29,101124.62342807837,0.0,2011
2011-05,2011-05-31,101124.62342807837,0.0,2011
2011-06,2011-06-30,101124.62342807837,0.0,2011
2011-07,2011-07-29,101124.62342807837,0.0,2011
2011-08,2011-08-31,101124.62342807837,0.0,2011
2011-09,2011-09-30,101124.62342807837,0.0,2011
2011-10,2011-10-31,101124.62342807837,0.0,2011
2011-11,2011-11-30,101124.62342807837,0.0,2011
2011-12,2011-12-30,101124.62342807837,0.0,2011
2012-01,2012-01-31,101124.62342807837,0.0,2012
2012-02,2012-02-29,101124.62342807837,0.0,2012
2012-03,2012-03-30,101124.62342807837,0.0,2012
2012-04,2012-04-30,101124.62342807837,0.0,2012
2012-05,2012-05-31,101124.62342807837,0.0,2012
2012-06,2012-06-29,101124.62342807837,0.0,2012
2012-07,2012-07-31,101124.62342807837,0.0,2012
2012-08,2012-08-31,101124.62342807837,0.0,2012
2012-09,2012-09-28,101124.62342807837,0.0,2012
2012-10,2012-10-31,101124.62342807837,0.0,2012
2012-11,2012-11-30,101124.62342807837,0.0,2012
2012-12,2012-12-31,101124.62342807837,0.0,2012
2013-01,2013-01-31,101124.62342807837,0.0,2013
2013-02,2013-02-28,101124.62342807837,0.0,2013
2013-03,2013-03-28,101124.62342807837,0.0,2013
2013-04,2013-04-30,101124.62342807837,0.0,2013
2013-05,2013-05-31,101124.62342807837,0.0,2013
2013-06,2013-06-28,101124.62342807837,0.0,2013
2013-07,2013-07-31,101124.62342807837,0.0,2013
2013-08,2013-08-30,101124.62342807837,0.0,2013
2013-09,2013-09-30,101124.62342807837,0.0,2013
2013-10,2013-10-31,101124.62342807837,0.0,2013
2013-11,2013-11-29,101124.62342807837,0.0,2013
2013-12,2013-12-31,101124.62342807837,0.0,2013
2014-01,2014-01-31,101124.62342807837,0.0,2014
2014-02,2014-02-28,101124.62342807837,0.0,2014
2014-03,2014-03-31,101124.62342807837,0.0,2014
2014-04,2014-04-30,101124.62342807837,0.0,2014
2014-05,2014-05-30,101124.62342807837,0.0,2014
2014-06,2014-06-30,101124.62342807837,0.0,2014
2014-07,2014-07-31,101124.62342807837,0.0,2014
2014-08,2014-08-29,101124.62342807837,0.0,2014
2014-09,2014-09-30,101124.62342807837,0.0,2014
2014-10,2014-10-31,101124.62342807837,0.0,2014
2014-11,2014-11-28,101124.62342807837,0.0,2014
2014-12,2014-12-31,101124.62342807837,0.0,2014
2015-01,2015-01-30,101124.62342807837,0.0,2015
