date,year,month,return
2007-01-31,2007,1,
2007-02-28,2007,2,0.0
2007-03-30,2007,3,0.0
2007-04-30,2007,4,0.0
2007-05-31,2007,5,0.0
2007-06-29,2007,6,0.0
2007-07-31,2007,7,0.0
2007-08-31,2007,8,0.0
2007-09-28,2007,9,0.0
2007-10-31,2007,10,0.0
2007-11-30,2007,11,0.0
2007-12-31,2007,12,0.0
2008-01-31,2008,1,0.0
2008-02-29,2008,2,0.010992443884055625
2008-03-31,2008,3,-0.04730913867372477
2008-04-30,2008,4,-0.00021194052812589792
2008-05-30,2008,5,0.01230731187502121
2008-06-30,2008,6,0.025632988010414248
2008-07-31,2008,7,0.0007853531391111002
2008-08-29,2008,8,-0.0293546941524625
2008-09-30,2008,9,-0.037745089614727
2008-10-31,2008,10,-0.03990693661069111
2008-11-28,2008,11,-0.0001578418400164372
2008-12-31,2008,12,0.0
2009-01-30,2009,1,0.0
2009-02-27,2009,2,0.0
2009-03-31,2009,3,0.02020053954793477
2009-04-30,2009,4,-0.015130248427303372
2009-05-29,2009,5,-0.026630479742481783
2009-06-30,2009,6,-0.005801103728632961
2009-07-31,2009,7,0.0
2009-08-31,2009,8,0.0
2009-09-30,2009,9,0.0
2009-10-30,2009,10,0.0
2009-11-30,2009,11,0.04196848643469875
2009-12-30,2009,12,0.06523622045399957
2010-01-29,2010,1,-0.07141419286656159
2010-02-26,2010,2,0.023571217766926056
2010-03-31,2010,3,0.12274986111272845
2010-04-30,2010,4,0.022466599848842472
2010-05-27,2010,5,-0.09798084802922868
2010-06-30,2010,6,-0.06520209806363564
2010-07-30,2010,7,-0.04371066075819929
2010-08-31,2010,8,-0.0004869739259154571
2010-09-30,2010,9,0.014360596754718236
2010-10-29,2010,10,0.017203837834500968
2010-11-30,2010,11,0.0414608816766775
2010-12-31,2010,12,0.0021531811335742113
2011-01-31,2011,1,-0.010395486853484348
2011-02-28,2011,2,0.025171368946739436
2011-03-31,2011,3,0.020895356599123005
2011-04-29,2011,4,0.03884743530592716
2011-05-31,2011,5,-0.023178449992991346
2011-06-30,2011,6,-0.02450540347959418
2011-07-29,2011,7,-0.040290705862903065
2011-08-31,2011,8,0.06284199534266044
2011-09-30,2011,9,-0.05507611835184367
2011-10-31,2011,10,0.006477415028899092
2011-11-30,2011,11,0.04074818580822326
2011-12-30,2011,12,-0.04705324214836004
2012-01-31,2012,1,-0.0008653375297061894
2012-02-29,2012,2,0.030261629095291065
2012-03-30,2012,3,0.007353650083903096
2012-04-30,2012,4,-0.02904525549082171
2012-05-31,2012,5,-0.03981930909744413
2012-06-29,2012,6,0.021409669261517772
2012-07-31,2012,7,-0.003457273041423181
2012-08-31,2012,8,0.03117458516400906
2012-09-28,2012,9,-8.16731242245794e-05
2012-10-31,2012,10,-0.01052645025382104
2012-11-30,2012,11,0.04131331857836984
2012-12-31,2012,12,0.044802351937408114
2013-01-31,2013,1,0.10030820498640769
2013-02-28,2013,2,0.0222902834544223
2013-03-28,2013,3,0.054486924266020864
2013-04-30,2013,4,0.05379145219223758
2013-05-31,2013,5,0.06313887472440993
2013-06-28,2013,6,-0.046772869838426434
2013-07-31,2013,7,0.05280816688275247
2013-08-30,2013,8,-0.014243722644745826
2013-09-30,2013,9,0.03280861615252628
2013-10-31,2013,10,0.05545585286007659
2013-11-29,2013,11,0.07241572521777062
2013-12-31,2013,12,0.05142793193934936
2014-01-31,2014,1,-0.047502488605128956
2014-02-28,2014,2,0.04213165870313684
2014-03-31,2014,3,-0.004343427269781763
2014-04-30,2014,4,-0.0011212928870073524
2014-05-30,2014,5,0.02547787367578569
2014-06-30,2014,6,0.023267600924204768
2014-07-31,2014,7,0.012984758830939525
2014-08-29,2014,8,0.0536687836860561
2014-09-30,2014,9,0.04359640815586707
2014-10-31,2014,10,0.02342087319745434
2014-11-28,2014,11,0.11852164598453618
2014-12-31,2014,12,0.0009940886636863322
2015-01-30,2015,1,-0.03520416502415458
2015-02-27,2015,2,0.0746423638731406
2015-03-31,2015,3,-0.014519682258482103
2015-04-30,2015,4,0.005769336043856654
2015-05-29,2015,5,0.05923057014429434
2015-06-30,2015,6,-0.03165473989054901
2015-07-31,2015,7,0.04582144797522325
2015-08-31,2015,8,-0.0860196982931124
2015-09-30,2015,9,-0.025884184204613914
2015-10-30,2015,10,0.0015269963847492907
2015-11-30,2015,11,0.01392159786613667
2015-12-31,2015,12,-0.03573629849610549
2016-01-29,2016,1,-0.050597918145947496
2016-02-29,2016,2,-0.018547632892155996
2016-03-31,2016,3,-0.0003278278072438301
2016-04-29,2016,4,0.0
2016-05-31,2016,5,0.0
2016-06-30,2016,6,0.0
2016-07-29,2016,7,0.0
2016-08-31,2016,8,-0.024345148023503183
2016-09-30,2016,9,-0.0013184852470947694
2016-10-31,2016,10,0.0
2016-11-30,2016,11,0.0
2016-12-30,2016,12,0.0
2017-01-31,2017,1,-0.0017569328690171249
2017-02-28,2017,2,0.033380632605249705
2017-03-31,2017,3,0.0019415717744741823
2017-04-28,2017,4,0.013859252928057009
2017-05-31,2017,5,0.0229381085094853
2017-06-30,2017,6,0.0019972913312551466
2017-07-31,2017,7,0.016939595244931827
2017-08-31,2017,8,0.011366748636091772
2017-09-29,2017,9,0.026894561169176434
2017-10-31,2017,10,0.03977880304278325
2017-11-30,2017,11,0.01615732993878849
2017-12-29,2017,12,0.016960832273460014
2018-01-31,2018,1,0.03281072142051378
2018-02-28,2018,2,-0.036408900046740134
2018-03-29,2018,3,-0.03972784103635407
2018-04-30,2018,4,0.009744060830030543
2018-05-31,2018,5,0.0372618799159572
2018-06-29,2018,6,0.025051300140519706
2018-07-31,2018,7,0.03729564151131903
2018-08-31,2018,8,0.04501399187137545
2018-09-28,2018,9,0.022802778633063125
2018-10-31,2018,10,-0.08019803794556735
2018-11-30,2018,11,0.011125145822193261
2018-12-31,2018,12,-0.11234306796396598
2019-01-31,2019,1,-0.02653007670508234
2019-02-28,2019,2,0.005961279119678364
2019-03-29,2019,3,0.01618150913347094
2019-04-30,2019,4,0.05787747056711168
2019-05-31,2019,5,-0.09241183297321154
2019-06-28,2019,6,0.021821310548408412
2019-07-31,2019,7,0.006837065884915061
2019-08-30,2019,8,0.03638606625729124
2019-09-30,2019,9,-0.008993689715110387
2019-10-31,2019,10,0.0216893126992177
2019-11-29,2019,11,0.006150708567049357
2019-12-31,2019,12,0.031730749226104304
